"NUMEROPT","EPI"
"226/2020","LUVA VAQUETA"
"226/2020","LUVA ANTI-VIBRAÇÃO"
"227/2020","BALACLAVA"
"230/2020","BOTA DE PVC CANO LONGO"
"234/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"235/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"236/2020","BALACLAVA"
"238/2020","PEÇA SEMI-FACIAL FILTRANTE 2"
"239/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"240/2020","CINTO DE SEGURANÇA COM TALABARTE DUPLO"
"241/2020","LUVA VAQUETA"
"241/2020","ÓCULOS SEG. CONTRA RESPINGO"
"242/2020","LUVA VAQUETA"
"243/2020","LUVA VAQUETA"
"243/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"246/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"248/2020","LUVA VAQUETA"
"250/2020","CINTO DE SEGURANÇA PARA RESGATE"
"250/2020","PROTETOR FACIAL"
"251/2020","LUVA DE POLIAMIDA ( NÁILON )"
"253/2020","LUVA ANTI-VIBRAÇÃO"
"253/2020","ÓCULOS AMPLA VISÃO"
"253/2020","BALACLAVA"
"257/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"257/2020","LUVA ELETRICISTA"
"258/2020","LUVA VAQUETA"
"262/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"262/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"266/2020","LUVA ELETRICISTA"
"266/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"270/2020","LUVA VAQUETA"
"272/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"277/2020","LUVA MALHA"
"277/2020","LUVA VAQUETA"
"278/2020","UNIFORME RF"
"286/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"290/2020","LUVA VAQUETA"
"290/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"292/2020","LUVA VAQUETA"
"297/2020","LUVA VAQUETA"
"298/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"299/2020","CINTO DE SEGURANÇA COM TALABARTE DUPLO"
"303/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"304/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"305/2020","LUVA VAQUETA"
"310/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"311/2020","LUVA VAQUETA"
"311/2020","LUVA NITRÍLICA"
"312/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"317/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"318/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"322/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"323/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"325/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"326/2020","LUVA VAQUETA"
"326/2020","BALACLAVA"
"326/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"328/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"330/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"332/2020","LUVA VAQUETA"
"333/2020","BALACLAVA"
"335/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"339/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"340/2020","LUVA VAQUETA"
"346/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"353/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"356/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"359/2020","LUVA VAQUETA"
"359/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"361/2020","LUVA ELETRICISTA"
"362/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"363/2020","LUVA VAQUETA"
"363/2020","TRAVA QUEDAS"
"365/2020","MÁSCARA SOLDADOR"
"365/2020","MASC. C/ GASES E VAPORES C1 p/ VAPOR ORGÂNICO < 1000 ppm"
"367/2020","LUVA VAQUETA"
"368/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"370/2020","NÃO APLICÁVEL"
"371/2020","LUVA DE POLIAMIDA ( NÁILON )"
"374/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"376/2020","LUVA VAQUETA"
"380/2020","LUVA VAQUETA"
"381/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"381/2020","TRAVA QUEDAS"
"383/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"384/2020","LUVA VAQUETA"
"384/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"385/2020","MASC. C/ MAT. PARTICULADO PFF-2(S)"
"386/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"386/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"387/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"388/2020","LUVA VAQUETA"
"391/2020","BOTA CANO ALTO"
"394/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"397/2020","LUVA VAQUETA"
"402/2020","BOTA DE COURO COM BIQUEIRA PLÁSTICA"
"409/2020","CAPACETE S/ABAS C/ CARNEIRA E PRESILHA DE QUEIXO EM Y"
"410/2020","MACACÃO COM GOLA TIPO PADRE E BOLSOS FECHADOS"
"412/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"412/2020","BOTA CANO ALTO"
"414/2020","MASC. C/ MAT. PARTICULADO PFF-2(SL)"
"415/2020","LUVA VAQUETA"
"417/2020","LUVA VAQUETA"
"417/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"420/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"421/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"421/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"423/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"424/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"429/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"429/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"430/2020","LUVA VAQUETA"
"430/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"430/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"431/2020","LUVA VAQUETA"
"432/2020","CINTO DE SEGURANÇA COM TALABARTE DUPLO"
"436/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"438/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"439/2020","ÓCULOS PROTETOR FACIAL"
"439/2020","MACACÃO PVC"
"439/2020","MASC. C/ GASES E VAPORES C1 p/ VAPOR ORGÂNICO < 1000 ppm"
"440/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"441/2020","LUVA VAQUETA"
"442/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"442/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"443/2020","LUVA VAQUETA"
"443/2020","MASC. C/ MAT. PARTICULADO P2(S)"
"443/2020","MASC. C/ GASES E VAPORES C3 p/ Vapor Orgânico < 10000 ppm"
"445/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"449/2020","COLETE SALVA-VIDAS"
"450/2020","MÁSCARA SOLDADOR"
"450/2020","MASC. C/ MAT. PARTICULADO PFF-2(S)"
"450/2020","PROTETOR FACIAL"
"451/2020","VESTIM. RF CLASSE 2"
"452/2020","LUVA NITRÍLICA"
"455/2020","CINTO DE SEGURANÇA COM TALABARTE DUPLO"
"459/2020","TRAVA QUEDAS"
"461/2020","RESPIRADOR COM FILTRO PARA GASES ÁCIDOS E VAPORES ORGÂNICOS"
"466/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"467/2020","LUVA VAQUETA"
"467/2020","MACACÃO COM GOLA TIPO PADRE E BOLSOS FECHADOS"
"469/2020","LUVA VAQUETA"
"470/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"471/2020","VESTIM. COMPLETA DE RASPA"
"471/2020","MÁSCARA DE PROTEÇÃO FACIAL"
"473/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"475/2020","LUVA VAQUETA"
"475/2020","CINTO DE SEG. C/ TALABARTE DUPLO TP.PARAQUEDISTA"
"477/2020","LUVA VAQUETA"
"477/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"478/2020","MASC. C/ GASES E VAPORES C3 p/ Vapor Orgânico < 10000 ppm"
"480/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"480/2020","TRAVA QUEDAS"
"482/2020","LUVA PVC"
"482/2020","MASC. C/ GASES E VAPORES C3 p/ Vapor Orgânico < 10000 ppm"
"485/2020","BOTA CANO ALTO"
"485/2020","TRAVA QUEDAS"
"485/2020","MACACÃO COM GOLA TIPO PADRE E BOLSOS FECHADOS"
"486/2020","CINTO DE SEG. C/ TALABARTE DUPLO TP.PARAQUEDISTA"
"487/2020","FILTRO TIPO QUÍMICO P/ VAPORES ORGÂNICOS C/2"
"488/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"489/2020","LUVA VAQUETA"
"491/2020","LUVA VAQUETA"
"491/2020","ÓCULOS AMPLA VISÃO"
"492/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"493/2020","MASC. C/ MAT. PARTICULADO PFF-2(SL)"
"495/2020","LUVA VAQUETA"
"496/2020","LUVA NITRÍLICA PRETA C/ SUPORTE TÊXTIL EM POLIAMIDA"
"497/2020","MASC. C/ MAT. PARTICULADO PFF-2(SL)"
"498/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"498/2020","LUVA NITRÍLICA PRETA C/ SUPORTE TÊXTIL EM POLIAMIDA"
"499/2020","PEÇA SEMI-FACIAL FILTRANTE 2"
"499/2020","COLETE SALVA VIDAS RF (apenas para trabalhos a quente)"
"500/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"500/2020","BOTA CANO ALTO"
"500/2020","CINTO DE SEGURANÇA PARA RESGATE"
"503/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"505/2020","LUVA VAQUETA"
"505/2020","BALACLAVA"
"506/2020","LUVA ANTI-VIBRAÇÃO"
"508/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"509/2020","ÓCULOS AMPLA VISÃO"
"509/2020","MÁSCARA SOLDADOR"
"509/2020","BALACLAVA"
"509/2020","OMBREIRA DE RASPA"
"511/2020","LUVA VAQUETA"
"516/2020","LUVA VAQUETA"
"518/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"519/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"529/2020","BOTA CANO ALTO"
"535/2020","LUVA VAQUETA"
"536/2020","LUVA VAQUETA"
"536/2020","LUVA PVC"
"536/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"536/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"539/2020","LUVA VAQUETA"
"539/2020","CINTO DE SEGURANÇA PARA RESGATE"
"541/2020","LUVA VAQUETA"
"541/2020","MASC. C/ MAT. PARTICULADO PFF-3(S)"
"542/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"543/2020","PROTETOR FACIAL"
"545/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"547/2020","MASC. C/ GASES, VAP. E MAT. PART. P2 C1 p/ VO/GA/OZ <1000ppm"
"548/2020","PEÇA SEMI-FACIAL FILTRANTE 2"
"549/2020","LUVA VAQUETA"
"552/2020","LUVA VAQUETA"
"553/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"555/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"555/2020","CINTO DE SEG. C/ TALABARTE DUPLO TP.PARAQUEDISTA"
"555/2020","LUVA ISOLANTE"
"556/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"558/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"559/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"561/2020","LUVA DE RASPA"
"561/2020","LUVA VAQUETA"
"561/2020","MASC. C/ MAT. PARTICULADO PFF-2(SL)"
"561/2020","CINTO DE SEGURANÇA PARA RESGATE"
"567/2020","LUVA DE POLIAMIDA ( NÁILON )"
"569/2020","MASC. C/ GASES E VAPORES C2 p/ Vapor Orgânico < 5000 ppm"
"569/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"570/2020","LUVA VAQUETA"
"570/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"570/2020","CINTO DE SEGURANÇA PARA RESGATE"
"571/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"572/2020","PEÇA SEMI-FACIAL FILTRANTE 2"
"574/2020","LUVA VAQUETA"
"580/2020","TRAVA QUEDAS"
"581/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"583/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"585/2020","LUVA VAQUETA"
"585/2020","ÓCULOS AMPLA VISÃO"
"586/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"588/2020","LUVA VAQUETA"
"588/2020","ÓCULOS AMPLA VISÃO"
"589/2020","LUVA VAQUETA"
"595/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"599/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"600/2020","LUVA VAQUETA"
"600/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"602/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"602/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"609/2020","LUVA VAQUETA"
"609/2020","LUVA ELETRICISTA"
"609/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"615/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"615/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"616/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"620/2020","ÓCULOS AMPLA VISÃO (esmerilhadeira)"
"627/2020","BOTA CANO ALTO"
"628/2020","LUVA VAQUETA"
"629/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"630/2020","BOTA DE PVC"
"631/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"633/2020","MASC. C/ MAT. PARTICULADO P2(SL)"
"634/2020","LUVA DE POLIAMIDA ( NÁILON )"
"645/2020","MASC. C/ MAT. PARTICULADO P3(SL)"
"646/2020","LUVA VAQUETA"
"646/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"660/2020","LUVA DE SUEDINE"
"661/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"665/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"668/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"677/2020","LUVA VAQUETA"
"677/2020","TRAVA QUEDAS"
"678/2020","ÓCULOS PROTETOR FACIAL"
"680/2020","LUVA VAQUETA"
"680/2020","ÓCULOS MAÇARIQUEIRO (oxicorte)"
"680/2020","PROTETOR FACIAL"
"681/2020","TRAVA QUEDAS"
"685/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"686/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"688/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"689/2020","LUVA VAQUETA"
"690/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"694/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"695/2020","CINTO DE SEG. C/ TALABARTE DUPLO TP.PARAQUEDISTA"
"695/2020","TRAVA QUEDAS"
"699/2020","LUVA NITRÍLICA"
"702/2020","NÃO APLICÁVEL"
"702/2020","BOTA CANO ALTO"
"703/2020","LUVA ANTI-VIBRAÇÃO"
"703/2020","LUVA NITRÍLICA OU PVC"
"704/2020","LUVA ANTI-VIBRAÇÃO"
"709/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"709/2020","EPI´s OBRIGATÓRIOS (CAPACETE, BOTA, PROT. AURIC. E UNIFORME)"
"710/2020","PEÇA SEMI-FACIAL FILTRANTE 2"
"714/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"717/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"718/2020","LUVA VAQUETA"
"718/2020","CAPACETE S/ABAS C/ CARNEIRA E PRESILHA DE QUEIXO EM Y"
"720/2020","LUVA VAQUETA"
"720/2020","ÓCULOS AMPLA VISÃO"
"720/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"723/2020","LUVA VAQUETA"
"723/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
"724/2020","CINTO DE SEG. C/ TALABARTE DUPLO TP.PARAQUEDISTA"
"726/2020","CINTO DE SEG. C/ TALABARTE DUPLO TP.PARAQUEDISTA"
"728/2020","DUPLO TALABARTE EM Y OU LINHA DE VIDA CONJUGADA TRAVA QUEDA"
"733/2020","LUVA ANTI-VIBRAÇÃO"
"734/2020","VESTIM. COMPLETA DE RASPA"
"734/2020","ÓCULOS MAÇARIQUEIRO (oxicorte)"
"734/2020","ÓCULOS AMPLA VISÃO (esmerilhadeira)"
"735/2020","ÓCULOS SEGURANÇA CONTRA IMPACTO"
